id,Status,Collection,Item Type,Total Checkouts,Total Renewals,Call Number,BibIds
1403084,AVAILABLE,Kids Room,Books,8,5,JF Yee (paper),1200268
1403308,IN MENDING,Kids Room,Books,47,17,EJF Brow (paper),1331620
1403447,AVAILABLE,Adult Collection,Books,28,20,914.472 Dord,1237400
1403520,AVAILABLE,Kids Room,Books,23,15,JF Kin (paper),1117387
1403626,AVAILABLE,Kids Room,Books,22,13,EJF Giff (paper),1330426
1403627,AVAILABLE,Kids Room,Books,20,9,EJF Giff (paper),1330426
1403685,AVAILABLE,Adult Collection,Adult Fiction,31,6,MYS Thom (paper),1295726
1404306,AVAILABLE,Kids Room,Books,43,19,EJF Appl,1292464
1404308,AVAILABLE,Kids Room,Books,49,19,EJF Appl,1290805
1404311,AVAILABLE,Kids Room,Books,54,19,EJF Appl,1292409
1404336,AVAILABLE,Kids Room,Books,57,32,EJF Appl (paper),1271858
1404382,AVAILABLE,Kids Room,Books,16,12,JF Ibb (paper),1171767
1404383,AVAILABLE,Kids Room,Books,10,6,JF Kon (paper),1099613
1404384,AVAILABLE,Kids Room,Books,7,2,JF Kon (paper),1017880
1404386,AVAILABLE,Kids Room,Books,16,7,JM All (paper),1256080
1404387,AVAILABLE,Kids Room,Books,13,5,JM Van (paper),1182460
1404388,AVAILABLE,Kids Room,Books,18,6,JF Cot (paper),1241859
1404389,AVAILABLE,Kids Room,Books,24,8,JSF Ibb (paper),1198278
1404392,AVAILABLE,Kids Room,Books,7,2,JF Kon (paper),1017879
1404395,AVAILABLE,Teen Room,Y Fiction,22,17,YF Coo (paper),1257991
1404396,AVAILABLE,Teen Room,Y Fiction,20,15,YF Coo (paper),1257991
1404397,AVAILABLE,Teen Room,Y Fiction,24,19,YF Coo (paper),1257991
1404540,AVAILABLE,Kids Room,Books,14,6,JM Fei (paper),1241880
1404541,AVAILABLE,Kids Room,Books,21,5,JM Fei (paper),1241880
1404543,AVAILABLE,Kids Room,Books,40,18,JSF Colf (paper),1242837
1404545,IN MENDING,Kids Room,Books,35,24,JF Barr (paper),1212195
1404546,AVAILABLE,Kids Room,Books,12,4,JM Alli (paper),1321097
1404548,AVAILABLE,Kids Room,Books,19,7,JM All (paper),1285923
1404550,AVAILABLE,Kids Room,Books,57,30,JF Clea (paper),1017639
1404557,AVAILABLE,Kids Room,Books,57,31,EJF Roy (paper),1275837
1404565,AVAILABLE,Kids Room,Books,74,21,EJF Osbo (paper),1142598
1404567,AVAILABLE,Kids Room,Books,49,30,EJF Brow (paper),1309011
1404568,AVAILABLE,Kids Room,Books,49,30,EJF Brow (paper),1309011
1404571,AVAILABLE,Teen Room,Y Fiction,17,10,YF Nap (paper),1133489
1404572,AVAILABLE,Teen Room,Y Fiction,19,8,YF Nap (paper),1133489
1404575,AVAILABLE,Teen Room,Y Fiction,8,3,YF L'E (paper),1020905
1404629,AVAILABLE,Kids Room,Books,46,19,JM War (paper),1181849
1404630,AVAILABLE,Kids Room,Books,51,17,JM War (paper),1181843
1404767,AVAILABLE,Kids Room,Books,17,14,JF L'E (paper),1133529
1404768,AVAILABLE,Kids Room,Books,46,20,JF Chi (paper),1225213
1404770,AVAILABLE,Kids Room,Books,19,9,JM Van (paper),1164568
1404774,AVAILABLE,Kids Room,Books,26,16,JF Ibb (paper),1273724
1404776,AVAILABLE,Kids Room,Books,46,16,JSF Ibb (paper),1165004
1404779,AVAILABLE,Kids Room,Books,10,11,JF Whe (paper),1157588
1404787,AVAILABLE,Kids Room,Books,18,7,EJF Sach (paper),1163374
1404788,AVAILABLE,Kids Room,Books,35,15,EJF Sach (paper),1093099
1404792,AVAILABLE,Kids Room,Books,34,8,EJF Klin (paper),1087240
1404813,AVAILABLE,Teen Room,Y Fiction,5,3,YF Leng (paper),1151752
1404940,AVAILABLE,Kids Room,Books,33,7,JF Bowe (paper),1332242
1404963,AVAILABLE,Kids Room,Books,42,24,EJF Abbo (paper),1332243
1404964,AVAILABLE,Kids Room,Books,46,20,EJF Abbo (paper),1332243
1405276,AVAILABLE,Kids Room,Books,67,34,EJF Roy (paper),1222757
1405279,AVAILABLE,Kids Room,Books,69,23,EJF Gutm (paper),1239620
1405282,AVAILABLE,Kids Room,Books,24,17,JF Par (paper),1245867
1405283,AVAILABLE,Kids Room,Books,27,11,JF Bow (paper),1250244
1405284,AVAILABLE,Kids Room,Books,31,7,JF Bow (paper),1274377
1405285,AVAILABLE,Kids Room,Books,47,24,JF Myra (paper),1318456
1405287,AVAILABLE,Kids Room,Books,19,8,JSF Stew (paper),1212165
1405294,AVAILABLE,Kids Room,Books,47,15,JM War (paper),1105840
1405295,AVAILABLE,Kids Room,Books,50,6,EJF Trin (paper),1260063
1405383,AVAILABLE,Kids Room,Books,12,2,JF Kon (paper),1017899
1405388,AVAILABLE,Kids Room,Books,11,2,JF Kon (paper),1017896
1405518,AVAILABLE,Kids Room,Books,32,5,EJF Klin (paper),1131364
1405519,AVAILABLE,Kids Room,Books,7,5,JF Fla (paper),1171662
1405520,AVAILABLE,Kids Room,Books,4,4,JF Fla (paper),1171662
